Name of Earth Meteorite,id,nametype,recclass,mass,year,reclat,reclong,point coordinates
Suizhou,23738,Valid,L6,260000.0,1986-01-01,31.61667,113.46667,"[31.61667, 113.46667]"
Sulagiri,48951,Valid,LL6,110000.0,2008-01-01,12.66667,78.03333,"[12.66667, 78.03333]"
Sultanpur,23741,Valid,L/LL6,1710.5,1916-01-01,25.93333,84.28333,"[25.93333, 84.28333]"
Sungach,23745,Valid,H5,637.0,1935-01-01,44.86667,133.16667,"[44.86667, 133.16667]"
Supuhee,23760,Valid,H6,7235.0,1865-01-01,26.71667,84.21667,"[26.71667, 84.21667]"
Sutter's Mill,55529,Valid,C,992.5,2012-01-01,38.80389,-120.90806,"[38.80389, -120.90806]"
Sylacauga,23773,Valid,H4,5560.0,1954-01-01,33.18836,-86.2945,"[33.18836, -86.2945]"
Tabor,23776,Valid,H5,7540.0,1753-01-01,49.4,14.65,"[49.4, 14.65]"
Tadjera,23778,Valid,L5,9000.0,1867-01-01,36.18333,5.41667,"[36.18333, 5.41667]"
Tagish Lake,23782,Valid,C2-ung,10000.0,2000-01-01,59.70444,-134.20139,"[59.70444, -134.20139]"
Tahara,23784,Valid,H4/5,1000.0,1991-01-01,34.72,137.305,"[34.72, 137.305]"
Takenouchi,23789,Valid,H5,720.0,1880-01-01,35.38333,134.9,"[35.38333, 134.9]"
Talampaya,23791,Valid,Eucrite-cm,1421.0,1995-01-01,0.0,0.0,"[0.0, 0.0]"
Tambakwatu,23795,Valid,L6,10500.0,1975-01-01,-7.75,112.76667,"[-7.75, 112.76667]"
Tamdakht,48691,Valid,H5,100000.0,2008-01-01,31.16333,-7.015,"[31.16333, -7.015]"
Tané,23801,Valid,L5,905.0,1918-01-01,35.43333,136.23333,"[35.43333, 136.23333]"
Taonan,23873,Valid,L5,3850.0,1965-01-01,45.4,122.9,"[45.4, 122.9]"
Tatahouine,23884,Valid,Diogenite,12000.0,1931-01-01,32.95,10.41667,"[32.95, 10.41667]"
Tathlith,23885,Valid,L6,2500.0,1967-01-01,19.38333,43.73333,"[19.38333, 43.73333]"
Tauk,23887,Valid,L6,6000.0,1929-01-01,35.13333,44.45,"[35.13333, 44.45]"
Tauti,23888,Valid,L6,21000.0,1937-01-01,46.71667,23.5,"[46.71667, 23.5]"
Tenham,23897,Valid,L6,160000.0,1879-01-01,-25.73333,142.95,"[-25.73333, 142.95]"
Tennasilm,23898,Valid,L4,28500.0,1872-01-01,58.03333,26.95,"[58.03333, 26.95]"
Thal,23908,Valid,H6,342.0,1950-01-01,33.4,70.6,"[33.4, 70.6]"
Thika,54493,Valid,L6,14200.0,2011-01-01,-1.00278,37.15028,"[-1.00278, 37.15028]"
Thuathe,23976,Valid,H4/5,45300.0,2002-01-01,-29.33333,27.58333,"[-29.33333, 27.58333]"
Tianzhang,23984,Valid,H5,2232.0,1986-01-01,32.94667,118.99,"[32.94667, 118.99]"
Tieschitz,23989,Valid,H/L3.6,28000.0,1878-01-01,49.6,17.11667,"[49.6, 17.11667]"
Tilden,23998,Valid,L6,74800.0,1927-01-01,38.2,-89.68333,"[38.2, -89.68333]"
Tillaberi,23999,Valid,L6,3000.0,1970-01-01,14.25,1.53333,"[14.25, 1.53333]"
Timochin,24004,Valid,H5,65500.0,1807-01-01,54.5,35.2,"[54.5, 35.2]"
Tirupati,24009,Valid,H6,230.0,1934-01-01,13.63333,79.41667,"[13.63333, 79.41667]"
Tissint,54823,Valid,Martian (shergottite),7000.0,2011-01-01,29.48195,-7.61123,"[29.48195, -7.61123]"
Tjabe,24011,Valid,H6,20000.0,1869-01-01,-7.08333,111.53333,"[-7.08333, 111.53333]"
Tjerebon,24012,Valid,L5,16500.0,1922-01-01,-6.66667,106.58333,"[-6.66667, 106.58333]"
Tomakovka,24019,Valid,LL6,600.0,1905-01-01,47.85,34.76667,"[47.85, 34.76667]"
