Name of Earth Meteorite,id,nametype,recclass,mass,year,reclat,reclong,point coordinates
Lusaka,14759,Valid,Unknown,,1951-01-01,-7.21667,29.43333,"[-7.21667, 29.43333]"
Mabwe-Khoywa,14764,Valid,L5,540.0,1937-01-01,19.0,97.0,"[19.0, 97.0]"
Macau,15370,Valid,H5,1500.0,1836-01-01,-5.2,-36.66667,"[-5.2, -36.66667]"
Machinga,15371,Valid,L6,93200.0,1981-01-01,-15.21222,35.24222,"[-15.21222, 35.24222]"
Macibini,15372,Valid,Eucrite-pmict,1995.0,1936-01-01,-28.83333,31.95,"[-28.83333, 31.95]"
Madhipura,15379,Valid,L,1000.0,1950-01-01,25.91667,86.36667,"[25.91667, 86.36667]"
Madiun,15380,Valid,L6,400.0,1935-01-01,-7.75,111.53333,"[-7.75, 111.53333]"
Madrid,15382,Valid,L6,400.0,1896-01-01,40.41667,-3.71667,"[40.41667, -3.71667]"
Mafra,15383,Valid,L3-4,600.0,1941-01-01,-26.16667,-49.93333,"[-26.16667, -49.93333]"
Magnesia,15386,Valid,"Iron, IAB-sHL",5000.0,1899-01-01,37.86667,27.51667,"[37.86667, 27.51667]"
Magombedze,15387,Valid,H3-5,666.6,1990-01-01,-19.48333,31.65,"[-19.48333, 31.65]"
Mahadevpur,47361,Valid,H4/5,70500.0,2007-01-01,27.66667,95.78333,"[27.66667, 95.78333]"
Maigatari-Danduma,30751,Valid,H5/6,4629.0,2004-01-01,12.83333,9.38333,"[12.83333, 9.38333]"
Malaga,15393,Valid,OC,150.0,1933-01-01,32.21667,-104.0,"[32.21667, -104.0]"
Malakal,15394,Valid,L5,2000.0,1970-01-01,9.5,31.75,"[9.5, 31.75]"
Malampaka,15395,Valid,H,470.0,1930-01-01,-3.13333,33.51667,"[-3.13333, 33.51667]"
Malotas,15397,Valid,H5,,1931-01-01,-28.93333,-63.23333,"[-28.93333, -63.23333]"
Malvern,15400,Valid,Eucrite-pmict,807.0,1933-01-01,-29.45,26.76667,"[-29.45, 26.76667]"
Mamra Springs,15401,Valid,L6,1000.0,1927-01-01,45.21667,62.08333,"[45.21667, 62.08333]"
Manbhoom,15402,Valid,LL6,1700.0,1863-01-01,23.05,86.7,"[23.05, 86.7]"
Manegaon,15403,Valid,Diogenite,50.0,1843-01-01,20.96667,76.1,"[20.96667, 76.1]"
Mangwendi,15405,Valid,LL6,22300.0,1934-01-01,-17.65,31.6,"[-17.65, 31.6]"
Manych,15409,Valid,LL3.4,3555.0,1951-01-01,45.81667,44.63333,"[45.81667, 44.63333]"
Mardan,15414,Valid,H5,4500.0,1948-01-01,34.23333,72.08333,"[34.23333, 72.08333]"
Maria Linden,15418,Valid,L4,114.0,1925-01-01,0.0,0.0,"[0.0, 0.0]"
Mariaville,15419,Valid,Iron,340.0,1898-01-01,42.71667,-99.38333,"[42.71667, -99.38333]"
Maribo,48973,Valid,CM2,25.81,2009-01-01,54.76183,11.46745,"[54.76183, 11.46745]"
Maridi,15421,Valid,H6,3200.0,1941-01-01,4.66667,29.25,"[4.66667, 29.25]"
Marilia,15422,Valid,H4,2500.0,1971-01-01,-22.25,-49.93333,"[-22.25, -49.93333]"
Marion (Iowa),15424,Valid,L6,28400.0,1847-01-01,41.9,-91.6,"[41.9, -91.6]"
Marjalahti,15426,Valid,"Pallasite, PMG",45000.0,1902-01-01,61.5,30.5,"[61.5, 30.5]"
Marmande,15429,Valid,L5,3000.0,1848-01-01,44.5,0.15,"[44.5, 0.15]"
Maromandia,15430,Valid,L6,6000.0,2002-01-01,-14.2,48.1,"[-14.2, 48.1]"
Maryville,15436,Valid,L6,1443.0,1983-01-01,35.8,-84.1,"[35.8, -84.1]"
Mascombes,15438,Valid,L6,1000.0,1836-01-01,45.36667,1.86667,"[45.36667, 1.86667]"
Mason Gully,53653,Valid,H5,24.54,2010-01-01,0.0,0.0,"[0.0, 0.0]"
Mässing,15443,Valid,Howardite,1600.0,1803-01-01,48.13333,12.61667,"[48.13333, 12.61667]"
Mauerkirchen,15446,Valid,L6,19000.0,1768-01-01,48.18333,13.13333,"[48.18333, 13.13333]"
Mauritius,15447,Valid,L6,220.0,1801-01-01,-20.0,57.0,"[-20.0, 57.0]"
Mayo Belwa,15451,Valid,Aubrite,4850.0,1974-01-01,8.96667,12.08333,"[8.96667, 12.08333]"
Mazapil,15453,Valid,"Iron, IAB-sLL",4000.0,1885-01-01,24.68333,-101.68333,"[24.68333, -101.68333]"
Maziba,15454,Valid,L6,4975.0,1942-01-01,-1.21667,30.0,"[-1.21667, 30.0]"
Mbale,15455,Valid,L5/6,150000.0,1992-01-01,1.06667,34.16667,"[1.06667, 34.16667]"
Medanitos,15467,Valid,Eucrite-cm,31.0,1953-01-01,-27.25,-67.5,"[-27.25, -67.5]"
Meerut,15469,Valid,H5,22.0,1861-01-01,29.01667,77.8,"[29.01667, 77.8]"
Meester-Cornelis,15470,Valid,H5,24750.0,1915-01-01,-6.23333,106.88333,"[-6.23333, 106.88333]"
Menow,15485,Valid,H4,10500.0,1862-01-01,53.18333,13.15,"[53.18333, 13.15]"
Menziswyl,15486,Valid,L5,28.9,1903-01-01,46.81867,7.21817,"[46.81867, 7.21817]"
Mern,15489,Valid,L6,4000.0,1878-01-01,55.05,12.06667,"[55.05, 12.06667]"
Meru,15491,Valid,LL6,6000.0,1945-01-01,0.0,37.66667,"[0.0, 37.66667]"
Merua,15492,Valid,H5,71400.0,1920-01-01,25.48333,81.98333,"[25.48333, 81.98333]"
Messina,15495,Valid,L5,2405.0,1955-01-01,38.18333,15.56667,"[38.18333, 15.56667]"
Meuselbach,16626,Valid,L6,870.0,1897-01-01,50.58333,11.1,"[50.58333, 11.1]"
Mezel,16627,Valid,L6,1300.0,1949-01-01,45.76667,3.25,"[45.76667, 3.25]"
Mezö-Madaras,16628,Valid,L3.7,22700.0,1852-01-01,46.5,25.73333,"[46.5, 25.73333]"
Mhow,16629,Valid,L6,350.0,1827-01-01,25.9,83.61667,"[25.9, 83.61667]"
Mianchi,16631,Valid,H5,1100.0,1980-01-01,34.8,111.7,"[34.8, 111.7]"
Middlesbrough,16632,Valid,L6,1600.0,1881-01-01,54.56667,-1.16667,"[54.56667, -1.16667]"
Mifflin,52090,Valid,L5,3584.0,2010-01-01,42.9075,-90.36556,"[42.9075, -90.36556]"
Mighei,16634,Valid,CM2,8000.0,1889-01-01,48.06667,30.96667,"[48.06667, 30.96667]"
Mihonoseki,16635,Valid,L6,6380.0,1992-01-01,35.56833,133.22,"[35.56833, 133.22]"
Mike,16636,Valid,L6,224.2,1944-01-01,46.23333,17.53333,"[46.23333, 17.53333]"
Milena,16640,Valid,L6,10000.0,1842-01-01,46.18333,16.1,"[46.18333, 16.1]"
Millbillillie,16643,Valid,Eucrite-mmict,330000.0,1960-01-01,-26.45,120.36667,"[-26.45, 120.36667]"
Miller (Arkansas),16645,Valid,H5,16700.0,1930-01-01,35.4,-92.05,"[35.4, -92.05]"
Minamino,16692,Valid,L,1040.0,1632-01-01,35.07833,136.93333,"[35.07833, 136.93333]"
Mineo,16696,Valid,Pallasite,42.0,1826-01-01,37.28333,14.7,"[37.28333, 14.7]"
Min-Fan-Zhun,16697,Valid,LL6,5500.0,1952-01-01,32.33333,120.66667,"[32.33333, 120.66667]"
Minnichhof,16700,Valid,OC,550.0,1905-01-01,47.7,16.6,"[47.7, 16.6]"
Mirzapur,16701,Valid,L5,8510.0,1910-01-01,25.68333,83.25,"[25.68333, 83.25]"
Misshof,16703,Valid,H5,5800.0,1890-01-01,56.66667,23.0,"[56.66667, 23.0]"
Mjelleim,16707,Valid,H,100.7,1898-01-01,61.73333,5.93333,"[61.73333, 5.93333]"
Mocs,16709,Valid,L5-6,300000.0,1882-01-01,46.8,24.03333,"[46.8, 24.03333]"
Modoc (1905),16711,Valid,L6,35000.0,1905-01-01,38.5,-101.1,"[38.5, -101.1]"
Mokoia,16713,Valid,CV3,4500.0,1908-01-01,-39.63333,174.4,"[-39.63333, 174.4]"
Molina,16715,Valid,H5,144000.0,1858-01-01,38.11667,-1.16667,"[38.11667, -1.16667]"
Molteno,16717,Valid,Howardite,150.0,1953-01-01,-31.25,26.46667,"[-31.25, 26.46667]"
Monahans (1998),16719,Valid,H5,2587.0,1998-01-01,31.60833,-102.85833,"[31.60833, -102.85833]"
Monroe,16720,Valid,H4,8600.0,1849-01-01,35.25,-80.5,"[35.25, -80.5]"
Monte das Fortes,16725,Valid,L5,4885.0,1950-01-01,38.01667,-8.25,"[38.01667, -8.25]"
